group,variable,value
gate7,1,12
gate7,2,16
gate7,3,12
gate7,4,14
gate7,5,12
gate7,6,12
gate7,7,9
gate7,8,17
gate7,9,6
gate7,10,20
gate7,11,20
gate7,12,16
gate8,1,38
gate8,2,34
gate8,3,36
gate8,4,36
gate8,5,37
gate8,6,41
gate8,7,31
gate8,8,44
gate8,9,31
gate8,10,47
gate8,11,43
gate8,12,42
general-gate0,1,3
general-gate0,2,1
general-gate0,3,5
general-gate0,4,7
general-gate0,5,9
general-gate0,6,9
general-gate0,7,4
general-gate0,8,14
general-gate0,9,4
general-gate0,10,8
general-gate0,11,3
general-gate0,12,4
general-gate1,1,431
general-gate1,2,373
general-gate1,3,423
general-gate1,4,460
general-gate1,5,423
general-gate1,6,408
general-gate1,7,411
general-gate1,8,392
general-gate1,9,407
general-gate1,10,420
general-gate1,11,456
general-gate1,12,448
general-gate2,1,432
general-gate2,2,376
general-gate2,3,421
general-gate2,4,460
general-gate2,5,422
general-gate2,6,414
general-gate2,7,416
general-gate2,8,393
general-gate2,9,410
general-gate2,10,420
general-gate2,11,463
general-gate2,12,454
general-gate3,1,21
general-gate3,2,22
general-gate3,3,28
general-gate3,4,23
general-gate3,5,25
general-gate3,6,24
general-gate3,7,15
general-gate3,8,26
general-gate3,9,12
general-gate3,10,23
general-gate3,11,26
general-gate3,12,22
general-gate4,1,332
general-gate4,2,292
general-gate4,3,352
general-gate4,4,352
general-gate4,5,323
general-gate4,6,276
general-gate4,7,286
general-gate4,8,307
general-gate4,9,303
general-gate4,10,330
general-gate4,11,350
general-gate4,12,348
general-gate5,1,288
general-gate5,2,214
general-gate5,3,268
general-gate5,4,271
general-gate5,5,276
general-gate5,6,256
general-gate5,7,249
general-gate5,8,254
general-gate5,9,250
general-gate5,10,272
general-gate5,11,264
general-gate5,12,282
general-gate6,1,71
general-gate6,2,64
general-gate6,3,52
general-gate6,4,80
general-gate6,5,49
general-gate6,6,71
general-gate6,7,74
general-gate6,8,66
general-gate6,9,77
general-gate6,10,57
general-gate6,11,70
general-gate6,12,82
general-gate7,1,488
general-gate7,2,426
general-gate7,3,510
general-gate7,4,492
general-gate7,5,489
general-gate7,6,405
general-gate7,7,436
general-gate7,8,454
general-gate7,9,462
general-gate7,10,483
general-gate7,11,502
general-gate7,12,471
ranger-base,1,38
ranger-base,2,34
ranger-base,3,36
ranger-base,4,36
ranger-base,5,37
ranger-base,6,41
ranger-base,7,31
ranger-base,8,44
ranger-base,9,31
ranger-base,10,47
ranger-base,11,43
ranger-base,12,42
ranger-stop0,1,437
ranger-stop0,2,378
ranger-stop0,3,428
ranger-stop0,4,469
ranger-stop0,5,430
ranger-stop0,6,421
ranger-stop0,7,419
ranger-stop0,8,397
ranger-stop0,9,411
ranger-stop0,10,427
ranger-stop0,11,472
ranger-stop0,12,463
ranger-stop1,1,8
ranger-stop1,2,12
ranger-stop1,3,4
ranger-stop1,4,10
ranger-stop1,5,10
ranger-stop1,6,10
ranger-stop1,7,8
ranger-stop1,8,10
ranger-stop1,9,8
ranger-stop1,10,30
ranger-stop1,11,14
ranger-stop1,12,10
ranger-stop2,1,436
ranger-stop2,2,376
ranger-stop2,3,429
ranger-stop2,4,466
ranger-stop2,5,432
ranger-stop2,6,415
ranger-stop2,7,419
ranger-stop2,8,398
ranger-stop2,9,410
ranger-stop2,10,427
ranger-stop2,11,470
ranger-stop2,12,460
ranger-stop3,1,28
ranger-stop3,2,22
ranger-stop3,3,26
ranger-stop3,4,28
ranger-stop3,5,26
ranger-stop3,6,26
ranger-stop3,7,24
ranger-stop3,8,26
ranger-stop3,9,16
ranger-stop3,10,26
ranger-stop3,11,32
ranger-stop3,12,24
ranger-stop4,1,8
ranger-stop4,2,8
ranger-stop4,3,14
ranger-stop4,4,14
ranger-stop4,5,18
ranger-stop4,6,14
ranger-stop4,7,10
ranger-stop4,8,10
ranger-stop4,9,8
ranger-stop4,10,19
ranger-stop4,11,19
ranger-stop4,12,20
ranger-stop5,1,20
ranger-stop5,2,18
ranger-stop5,3,20
ranger-stop5,4,20
ranger-stop5,5,16
ranger-stop5,6,22
ranger-stop5,7,12
ranger-stop5,8,18
ranger-stop5,9,12
ranger-stop5,10,20
ranger-stop5,11,24
ranger-stop5,12,20
ranger-stop6,1,42
ranger-stop6,2,38
ranger-stop6,3,30
ranger-stop6,4,35
ranger-stop6,5,42
ranger-stop6,6,39
ranger-stop6,7,35
ranger-stop6,8,40
ranger-stop6,9,31
ranger-stop6,10,50
ranger-stop6,11,39
ranger-stop6,12,37
ranger-stop7,1,14
ranger-stop7,2,16
ranger-stop7,3,12
ranger-stop7,4,14
ranger-stop7,5,12
ranger-stop7,6,12
ranger-stop7,7,9
ranger-stop7,8,17
ranger-stop7,9,6
ranger-stop7,10,20
ranger-stop7,11,20
ranger-stop7,12,16
